"column","name","ncaa_name","logos","conference","conference_2","url_conference","primary","secondary","tertiary","quaternary","background","border"
235,"Providence","Providence","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/providence.svg","Big East","Big East","https://sportslogohistory.com/wp-content/uploads/2017/12/big_east_conference_2005-pres.png","#000000","#8A8D8F","#ffffffFFF",NA,"#163e79","#DA3742"
236,"Purdue Boilermakers","Purdue","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/purdue.svg","Big Ten","Big 10","https://sportslogohistory.com/wp-content/uploads/2017/12/big_ten_conference_2012-pres.png","#CEB888","#000000","#9D968D","#373A36","#0088ce","#000000"
237,"Purdue Fort Wayne Mastodons","Purdue Fort Wayne","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/ipfw.svg","Horizon","Horizon","https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Hl-logo-large-dark.png/250px-Hl-logo-large-dark.png","#002F6C","#000000","#63666A","#97999B","#de7c00","#000000"
238,"Quinnipiac Bobcats","Quinnipiac","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/quinnipiac.svg","MAAC","MAAC","https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Metro_Atlantic_Athletic_Conference_logo.svg/200px-Metro_Atlantic_Athletic_Conference_logo.svg.png","#0A2240","#FFB819",NA,NA,"#2d4ca0","#D03C40"
239,"Radford Highlanders","Radford","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/radford.svg","Big South","Big South","https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Big_South_Conference_Logo_%282017%29.png/800px-Big_South_Conference_Logo_%282017%29.png","#C2011B","#808285",NA,NA,"#0082cc","#ec7422"
240,"Rhode Island Rams","Rhode Island","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/rhode-island.svg","Atlantic 10","A-10","https://sportslogohistory.com/wp-content/uploads/2018/03/atlantic__10_conference_2014-pres.png","#68ABE8","#002147",NA,NA,"#cf352a","#000000"
241,"Rice Owls","Rice","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/rice.svg","C-USA","C-USA","https://sportslogohistory.com/wp-content/uploads/2018/03/conference_usa_2013-pres.png","#00205B","#C1C6C8",NA,NA,"#003865","#A6192E"
242,"Richmond Spiders","Richmond","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/richmond.svg","Atlantic 10","A-10","https://sportslogohistory.com/wp-content/uploads/2018/03/atlantic__10_conference_2014-pres.png","#000066","#990000",NA,NA,"#cf352a","#000000"
243,"Rider Broncs","Rider","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/rider.svg","MAAC","MAAC","https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Metro_Atlantic_Athletic_Conference_logo.svg/200px-Metro_Atlantic_Athletic_Conference_logo.svg.png","#981E32","#6C6F70",NA,NA,"#2d4ca0","#D03C40"
244,"Robert Morris Colonials","Robert Morris","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/robert-morris.svg","Horizon","Horizon","https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Hl-logo-large-dark.png/250px-Hl-logo-large-dark.png","#14234B","#A6192E",NA,NA,"#de7c00","#000000"
245,"Rutgers Scarlet Knights","Rutgers","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/rutgers.svg","Big Ten","Big 10","https://sportslogohistory.com/wp-content/uploads/2017/12/big_ten_conference_2012-pres.png","#CC0033","#5F6A72","#000000",NA,"#0088ce","#000000"
246,"Sacramento State","Sacramento St.","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/sacramento-st.svg","Big Sky","Big Sky","https://sportslogohistory.com/wp-content/uploads/2019/05/big_sky_conference_2013-pres.png","#043927","#C4B581",NA,NA,"#015dab","#70CEE4"
247,"Sacred Heart Pioneers","Sacred Heart","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/sacred-heart.svg","NEC","NEC","https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Northeast_Conference_logo.svg/1200px-Northeast_Conference_logo.svg.png","#CD1041","#ffffffFFF",NA,NA,"#0d67a4","#231f20"
248,"Saint Francis (PA)","Saint Francis (PA)","https://en.wikipedia.org/wiki/File:Saint_Francis_Red_Flash_logo.svg","NEC","NEC","https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Northeast_Conference_logo.svg/1200px-Northeast_Conference_logo.svg.png","#BD1F25","#ffffffFFF",NA,NA,"#0d67a4","#231f20"
249,"Saint Joseph's Hawks","Saint Joseph's","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/st-josephs-brkln.svg","Atlantic 10","A-10","https://sportslogohistory.com/wp-content/uploads/2018/03/atlantic__10_conference_2014-pres.png","#9E1B32","#6C6F70",NA,NA,"#cf352a","#000000"
250,"Saint Louis Billikens","Saint Louis","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/saint-louis.svg","Atlantic 10","A-10","https://sportslogohistory.com/wp-content/uploads/2018/03/atlantic__10_conference_2014-pres.png","#003DA5","#C8C9C7",NA,NA,"#cf352a","#000000"
251,"Saint Mary's (CA)","Saint Mary's (CA)","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/st-marys-ca.svg","WCC","WCC","https://sportslogohistory.com/wp-content/uploads/2018/01/west_coast__conference_2012-pres.png","#D80024","#06315B",NA,NA,"#10225e","#862B30"
252,"Saint Peter's Peacocks","Saint Peter's","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/saint-peters.svg","MAAC","MAAC","https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Metro_Atlantic_Athletic_Conference_logo.svg/200px-Metro_Atlantic_Athletic_Conference_logo.svg.png","#003C71","#0072CE","#A59C94","#000000","#2d4ca0","#D03C40"
253,"SaintBonaventure","SaintBonaventure","https://upload.wikimedia.org/wikipedia/en/thumb/9/9c/St._Bonaventure_Bonnies_logo.svg/500px-St._Bonaventure_Bonnies_logo.svg.png","Ivy","Ivy","https://sportslogohistory.com/wp-content/uploads/2019/05/ivy_league_2000-pres.png","#54261A","#FDB726","#BDB6B0",NA,"#01563f","#01563f"
254,"SaintFrancis Brooklyn","SaintFrancis Brooklyn","https://cdn.usteamcolors.com/images/ncaa/division-1/st-francis-brooklyn-terriers-logo.png","NEC","NEC","https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Northeast_Conference_logo.svg/1200px-Northeast_Conference_logo.svg.png","#0038A8","#CE1126",NA,NA,"#0d67a4","#231f20"
255,"SaintJohn's (NY)","St. John's (NY)","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/st-johns-ny.svg","Big East","Big East","https://sportslogohistory.com/wp-content/uploads/2017/12/big_east_conference_2005-pres.png","#BA0C2F","#041C2C","#A7A8AA",NA,"#163e79","#DA3742"
256,"Sam Houston State Bearkats","Sam Houston","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/sam-houston-st.svg","Southland","Southland","https://www.southland.org/images/main_logo.png","#F78E1E","#004990",NA,NA,"#002649","#ffffff"
257,"Samford Bulldogs","Samford","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/samford.svg","SoCon","SoCon","https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Southern_Conference_logo.svg/200px-Southern_Conference_logo.svg.png","#C4161D","#002649",NA,NA,"#001489","#da291c"
258,"San Diego State Aztecs","San Diego St.","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/san-diego-st.svg","Mountain West","MWC","https://sportslogohistory.com/wp-content/uploads/2018/03/mountain_west_conference_2011-pres.png","#002868","#84BCE8","#207BC1",NA,"#4a317a","#AFAFAF"
259,"San Diego Toreros","San Diego","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/san-diego.svg","WCC","WCC","https://sportslogohistory.com/wp-content/uploads/2018/01/west_coast__conference_2012-pres.png","#A6192E","#000000","#ffffffFFF",NA,"#10225e","#862B30"
260,"San Francisco Dons","San Francisco","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/san-francisco.svg","WCC","WCC","https://sportslogohistory.com/wp-content/uploads/2018/01/west_coast__conference_2012-pres.png","#FDBB30","#00543C","#919194",NA,"#10225e","#862B30"
261,"San Jose State Spartans","San Jose St.","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/san-jose-st.svg","Mountain West","MWC","https://sportslogohistory.com/wp-content/uploads/2018/03/mountain_west_conference_2011-pres.png","#0055A2","#E5A823","#939597",NA,"#4a317a","#AFAFAF"
262,"Santa Clara Broncos","Santa Clara","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/santa-clara.svg","WCC","WCC","https://sportslogohistory.com/wp-content/uploads/2018/01/west_coast__conference_2012-pres.png","#862633","#ffffffFFF",NA,NA,"#10225e","#862B30"
263,"Seattle U","Seattle U","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/seattle.svg","WAC","WAC","https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Western_Athletic_Conference_Logo.svg/250px-Western_Athletic_Conference_Logo.svg.png","#AA0000","#333333",NA,NA,"#98002e","#d9d4cc"
264,"Seton Hall Pirates","Seton Hall","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/seton-hall.svg","Big East","Big East","https://sportslogohistory.com/wp-content/uploads/2017/12/big_east_conference_2005-pres.png","#004488","#A2AAAD",NA,NA,"#163e79","#DA3742"
265,"SFA","SFA","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/stephen-f-austin.svg","Southland","Southland","https://www.southland.org/images/main_logo.png","#3F2A55","#ffffffFFF",NA,NA,"#002649","#ffffff"
266,"Siena","Siena","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/siena.svg","MAAC","MAAC","https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Metro_Atlantic_Athletic_Conference_logo.svg/200px-Metro_Atlantic_Athletic_Conference_logo.svg.png","#FFC72C","#C8102E","#006747","#693F23","#2d4ca0","#D03C40"
267,"SIUE","SIUE","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/siu-edwardsville.svg","OVC","OVC","https://sportslogohistory.com/wp-content/uploads/2019/05/ohio_valley_conference_2000-pres.png","#CC0000","#ffffffFFF",NA,NA,"#a51341","#000000"
268,"SMU","SMU","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/smu.svg","AAC","AAC","https://sportslogohistory.com/wp-content/uploads/2019/10/american_athletic__conference_2017-pres.png","#CC0035","#354CA1",NA,NA,"#0a1f3f","#D0392B"
269,"South Alabama Jaguars","South Alabama","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/south-ala.svg","Sunbelt","Sunbelt","https://sportslogohistory.com/wp-content/uploads/2020/06/sun_belt__conference_2020-pres.png","#00205B","#BF0D3E",NA,NA,"#205296","#F3BA44"
270,"South Carolina Gamecocks","South Carolina","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/south-carolina.svg","SEC","SEC","https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Southeastern_Conference_logo.svg/1200px-Southeastern_Conference_logo.svg.png","#73000A","#000000",NA,NA,"#264279","#F8D366"
271,"South Carolina State Bulldogs","South Carolina St.","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/south-carolina-st.svg","MEAC","MEAC","https://fbschedules.com/wp-content/uploads/2019/07/meac.png","#841A2B","#1E4692",NA,NA,"#481a72","#f7b04d"
272,"South Dakota Coyotes","South Dakota","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/south-dakota.svg","Summit League","Summit","https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Summit_League_logo.svg/250px-Summit_League_logo.svg.png","#AD0000","#B4B4B4","#000000",NA,"#215499","#939598"
273,"South Dakota State Jackrabbits","South Dakota St.","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/south-dakota-st.svg","Summit League","Summit","https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Summit_League_logo.svg/250px-Summit_League_logo.svg.png","#0033A0","#FFD100",NA,NA,"#215499","#939598"
274,"South Florida Bulls","South Fla.","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/south-fla.svg","AAC","AAC","https://sportslogohistory.com/wp-content/uploads/2019/10/american_athletic__conference_2017-pres.png","#006747","#CFC493",NA,NA,"#0a1f3f","#D0392B"
275,"Southeast Mo. State","Southeast Mo. St.","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/southeast-mo-st.svg","OVC","OVC","https://sportslogohistory.com/wp-content/uploads/2019/05/ohio_valley_conference_2000-pres.png","#C8102E","#000000",NA,NA,"#a51341","#000000"
276,"Southeastern Louisiana Lions","Southeastern La.","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/southeastern-la.svg","Southland","Southland","https://www.southland.org/images/main_logo.png","#006341","#EAAA00",NA,NA,"#002649","#ffffff"
277,"Southern California Trojans","Southern California","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/southern-california.svg","Pac-12","Pac-12","https://sportslogohistory.com/wp-content/uploads/2017/12/pac-12_2001-pres.png","#FFC72C","#990000","#FFC72C",NA,"#1d4b8c","#000000"
278,"Southern Illinois","Southern Ill.","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/southern-ill.svg","MVC","MVC","https://sportslogohistory.com/wp-content/uploads/2018/03/missouri_valley_conference_logo.png","#720000","#000000",NA,NA,"#e51636","#18468b"
279,"Southern Mississippi Golden Eagles","Southern Miss.","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/southern-miss.svg","C-USA","C-USA","https://sportslogohistory.com/wp-content/uploads/2018/03/conference_usa_2013-pres.png","#000000","#FFAB00",NA,NA,"#003865","#A6192E"
280,"Southern U.","Southern U.","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/southern-u.svg","SWAC","SWAC","https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Southwestern_Athletic_Conference_logo.svg/250px-Southwestern_Athletic_Conference_logo.svg.png","#69B3E7","#FFC72C",NA,NA,"#ed192d","#000000"
281,"Southern Utah Thunderbirds","Southern Utah","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/southern-utah.svg","Big Sky","Big Sky","https://sportslogohistory.com/wp-content/uploads/2019/05/big_sky_conference_2013-pres.png","#000000","#ffffffFFF",NA,NA,"#015dab","#70CEE4"
282,"Stanford Cardinal","St. Bonaventure","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/st-bonaventure.svg","Atlantic 10","A-10","https://sportslogohistory.com/wp-content/uploads/2018/03/atlantic__10_conference_2014-pres.png","#8C1515","#ffffffFFF","#4D4F53","#2E2D29","#cf352a","#000000"
283,"Stetson Hatters","St. Francis Brooklyn","https://cdn.usteamcolors.com/images/ncaa/division-1/st-francis-brooklyn-terriers-logo.png","NEC","NEC","https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Northeast_Conference_logo.svg/1200px-Northeast_Conference_logo.svg.png","#006747","#B58150","#9E652E","#000000","#0d67a4","#231f20"
284,"Stony Brook Seawolves","Stony Brook","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/stony-brook.svg","America East","Am. East","https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/America_East.png/200px-America_East.png","#990000","#16243E","#828282",NA,"#141b4d","#00b5e2"
285,"Stanford","Stanford","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/stanford.svg","Pac-12","Pac-12","https://sportslogohistory.com/wp-content/uploads/2017/12/pac-12_2001-pres.png","#8C1515","#ffffffFFF","#4D4F53","#2E2D29","#1d4b8c","#000000"
286,"Stetson","Stetson","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/stetson.svg","ASUN","A-Sun","https://sportslogohistory.com/wp-content/uploads/2019/10/atlantic_sun_conference_2016-pres.png","#006747","#B58150","#9E652E","#000000","#424448","#F1E44C"
287,"Syracuse Orange","Syracuse","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/syracuse.svg","ACC","ACC","https://sportslogohistory.com/wp-content/uploads/2017/12/atlantic_coast_conference_2014-pres.png","#D44500","#3E3D3C","#6F777D","#ADB3B8","#204c88","#A8A9AB"
288,"Tarleton St.","Tarleton St.","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/tarleton-st.svg","WAC","WAC","https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Western_Athletic_Conference_Logo.svg/250px-Western_Athletic_Conference_Logo.svg.png","#4F2D7F","white",NA,NA,"#98002e","#d9d4cc"
289,"TCU","TCU","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/tcu.svg","Big 12","Big 12","https://sportslogohistory.com/wp-content/uploads/2019/10/big_12_conference_2019-pres.png","#4D1979","#A3A9AC","#ffffffFFF",NA,"#b42b36","#B42B36"
290,"Temple Owls","Temple","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/temple.svg","AAC","AAC","https://sportslogohistory.com/wp-content/uploads/2019/10/american_athletic__conference_2017-pres.png","#9D2235","#FFCD00","#8A8D8F","#C1C6C8","#0a1f3f","#D0392B"
291,"Tennessee Volunteers","Tennessee","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/tennessee.svg","SEC","SEC","https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Southeastern_Conference_logo.svg/1200px-Southeastern_Conference_logo.svg.png","#FF8200","#58595B","#ffffffFFF",NA,"#264279","#F8D366"
292,"Tennessee State Tigers","Tennessee St.","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/tennessee-st.svg","OVC","OVC","https://sportslogohistory.com/wp-content/uploads/2019/05/ohio_valley_conference_2000-pres.png","#00539F","#ffffffFFF",NA,NA,"#a51341","#000000"
293,"Tennessee Tech","Tennessee Tech","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/tennessee-tech.svg","OVC","OVC","https://sportslogohistory.com/wp-content/uploads/2019/05/ohio_valley_conference_2000-pres.png","#4F2984","#FFDD00",NA,NA,"#a51341","#000000"
294,"Texas","Texas","https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Texas_Longhorns_logo.svg/1200px-Texas_Longhorns_logo.svg.png","Big 12","Big 12","https://sportslogohistory.com/wp-content/uploads/2019/10/big_12_conference_2019-pres.png","#BF5700","#333F48","#ffffffFFF",NA,"#b42b36","#B42B36"
295,"Texas A&M Aggies","Texas A&M","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/texas-am.svg","SEC","SEC","https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Southeastern_Conference_logo.svg/1200px-Southeastern_Conference_logo.svg.png","#500000","#ffffffFFF",NA,NA,"#264279","#F8D366"
296,"Texas Southern Tigers","Texas Southern","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/texas-southern.svg","SWAC","SWAC","https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Southwestern_Athletic_Conference_logo.svg/250px-Southwestern_Athletic_Conference_logo.svg.png","#6F263D","#A2AAAD",NA,NA,"#ed192d","#000000"
297,"Texas State Bobcats","Texas St.","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/texas-st.svg","Sunbelt","Sunbelt","https://sportslogohistory.com/wp-content/uploads/2020/06/sun_belt__conference_2020-pres.png","#501214","#8D734A",NA,NA,"#205296","#F3BA44"
298,"Texas Tech Red Raiders","Texas Tech","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/texas-tech.svg","Big 12","Big 12","https://sportslogohistory.com/wp-content/uploads/2019/10/big_12_conference_2019-pres.png","#CC0000","#000000","#ffffffFFF",NA,"#b42b36","#B42B36"
299,"The Citadel Bulldogs","The Citadel","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/citadel.svg","SoCon","SoCon","https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Southern_Conference_logo.svg/200px-Southern_Conference_logo.svg.png","#3975B7","#ffffffFFF",NA,NA,"#001489","#da291c"
300,"Toledo Rockets","Toledo","https://a2.espncdn.com/combiner/i?img=%2Fi%2Fteamlogos%2Fncaa%2F500%2F2649.png","MAC","MAC","https://sportslogohistory.com/wp-content/uploads/2019/02/mid-american_conference_2008-pres.png","#15397F","#005CB9","#FFDA00","#BEC6C3","#142846","#479F66"
301,"Towson Tigers","Towson","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/towson.svg","CAA","CAA","https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Colonial_Athletic_Association_2013_logo.png/250px-Colonial_Athletic_Association_2013_logo.png","#000000","#FFCC00",NA,NA,"#002649","#ffffff"
302,"Troy Trojans","Troy","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/troy.svg","Sunbelt","Sunbelt","https://sportslogohistory.com/wp-content/uploads/2020/06/sun_belt__conference_2020-pres.png","#6D0017","#B2B3B5","#000000",NA,"#205296","#F3BA44"
